학교폭력	tf	df
연예인	6113 	0.269 
학교통제	4657 	-0.071 
성폭력	2184 	0.551 
가출	1826 	-0.108 
전학	1669 	-0.046 
흡연	1197 	-0.059 
경제적문제	1106 	0.042 
음주	1091 	-0.055 
무단결석	961 	-0.019 
부모이혼	779 	0.009 
임신	692 	0.390 
성관계	621 	0.083 
인터넷중독	583 	-0.090 
약물	542 	-0.014 
가정폭력	513 	0.028 
채팅앱	502 	-0.039 
교통사고	426 	0.161 
게임	404 	-0.031 
학업스트레스	347 	-0.059 
유튜브	328 	0.316 
친구폭력	301 	-0.021 
학교폭력경험	301 	-0.064 
아동학대	293 	0.338 
학생폭력	273 	-0.048 
개인방송	268 	0.037 
절교	253 	0.002 
헬조선	244 	-0.064 
도박	237 	0.093 
유흥업소출입	226 	0.090 
물질주의	198 	-0.032 
개그	184 	-0.078 
왕따문화	130 	0.123 
계급사회	128 	0.565 
성인물	114 	-0.054 
