학교폭력	tf	df
연예인	11020 	0.430 
학교통제	9771 	0.153 
성폭력	3687 	0.914 
가출	3449 	0.157 
전학	2764 	0.135 
흡연	2099 	0.071 
경제적문제	1849 	0.241 
음주	1816 	0.125 
무단결석	1391 	0.236 
성관계	1262 	0.409 
인터넷중독	1246 	0.062 
부모이혼	1153 	0.271 
임신	1029 	0.570 
채팅앱	934 	0.182 
약물	872 	0.155 
개인방송	866 	-0.064 
가정폭력	744 	0.232 
게임	680 	0.190 
아동학대	583 	0.994 
교통사고	552 	0.485 
유튜브	479 	0.602 
학업스트레스	474 	0.117 
유흥업소출입	351 	0.234 
도박	347 	0.344 
학교폭력경험	344 	0.066 
친구폭력	338 	0.134 
물질주의	337 	0.208 
개그	311 	0.113 
학생폭력	309 	0.074 
헬조선	309 	0.235 
절교	297 	0.204 
계급사회	183 	1.297 
왕따문화	172 	0.479 
성인물	162 	0.151 
