증상	tf	df
학업스트레스	3788 	0.125 
자살	3184 	0.098 
분노	2640 	0.033 
불안	2490 	0.083 
초조	2395 	0.050 
슬픔	1591 	0.448 
피로	1362 	-0.019 
통증	1165 	0.073 
수면	1047 	-0.014 
죄책감	1031 	0.043 
무관심	970 	-0.086 
상실	867 	-0.084 
무기력	691 	0.120 
외로움	664 	0.086 
혼란	573 	-0.105 
소화장애	540 	-0.008 
식욕	469 	0.013 
체중	401 	-0.054 
적대	367 	0.354 
공포	341 	-0.106 
소외감	308 	-0.049 
충동	301 	-0.120 
집중력	228 	0.230 
지체	149 	0.030 
호흡기장애	120 	0.068 
중독	97 	-0.331 
경련	94 	-0.056 
무가치	61 	0.310 
퉁명	34 	-0.006 
자존감저하	13 	0.203 
더러움	5 	-0.030 
