증상	tf	df
학업스트레스	3807 	0.142 
자살	3475 	0.083 
분노	3412 	0.024 
불안	2779 	0.088 
초조	2671 	0.037 
슬픔	1769 	0.418 
피로	1517 	-0.007 
통증	1450 	0.077 
수면	1351 	-0.013 
죄책감	1202 	0.026 
무관심	1068 	-0.076 
상실	950 	-0.076 
외로움	738 	0.155 
무기력	704 	0.129 
혼란	654 	-0.077 
소화장애	616 	-0.019 
식욕	534 	0.064 
체중	494 	-0.056 
적대	393 	0.316 
공포	341 	-0.090 
소외감	329 	-0.041 
충동	318 	-0.135 
집중력	228 	0.246 
지체	150 	0.042 
호흡기장애	144 	0.025 
중독	97 	-0.321 
경련	95 	-0.021 
무가치	61 	0.324 
퉁명	34 	0.008 
자존감저하	13 	0.218 
더러움	5 	-0.014 
