순위,시간,2012년,2013년,2014년,total,,,,,,,,,
1,1시,3.9,5,6.3,5.1,,,,,,,,,
2,2시,2.8,2.7,2.7,2.7,,,,,,,,,
3,3시,1.6,1.9,1.4,1.6,,,,,,,,,
4,4시,0.9,1,0.9,0.9,,,,,,,,,
5,5시,1,0.9,0.8,0.9,,,,,,,,,
6,6시,1.4,1.4,1.1,1.3,,,,,,,,,
7,7시,1.8,2,2,1.9,,,,,,,,,
8,8시,3,2.9,2.6,2.8,,,,,,,,,
9,9시,3.9,4,3.8,3.9,,,,,,,,,
10,10시,4.9,4.6,4.7,4.8,,,,,,,,,
11,11시,5.5,4.8,5,5.1,,,,,,,,,
12,12시,3.9,3.7,4.1,3.9,,,,,,,,,
13,13시,4.5,4.6,4.2,4.4,,,,,,,,,
14,14시,4.7,4.5,4.6,4.6,,,,,,,,,
15,15시,5,4.8,4.5,4.7,,,,,,,,,
16,16시,5.1,4.6,4.7,4.8,,,,,,,,,
17,17시,4.8,4.7,4.4,4.7,,,,,,,,,
18,18시,4.9,5.6,5.4,5.3,,,,,,,,,
19,19시,4.7,4.4,4.5,4.5,,,,,,,,,
20,20시,5.8,5.1,5.5,5.4,,,,,,,,,
21,21시,5.8,5.6,6.8,6.1,,,,,,,,,
22,22시,6.4,6.8,7.8,7,,,,,,,,,
23,23시,7.4,7.6,6.3,7.1,,,,,,,,,
24,24시,6.2,6.7,5.9,6.3,,,,,,,,,
