Factor1 Factor2 Factor3
 2.9329594811 10.3680594775 -1.4252426140
-0.3583036318 -0.0963166919 -0.1669199782
 3.3764158851  0.8297823166 -0.8906346810
 0.6456893134 -0.8819238490  2.6701091766
-0.4422128723 -0.3837791945  2.9525924958
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
 0.1852428168 -0.2527692944 -0.1211454837
-0.3583036318 -0.0963166919 -0.1669199782
 3.5061122465 -0.2425307408 -0.0265451610
 3.3077627807  3.2441236412 -1.0259722336
-0.3583036318 -0.0963166919 -0.1669199782
 1.0282062870 -0.4438211966 -0.3170626107
 1.0832792550 -0.5111701942 -0.2534120524
-0.3583036318 -0.0963166919 -0.1669199782
 0.4120073625 -0.3338122900 -0.1082345930
-0.3583036318 -0.0963166919 -0.1669199782
 0.1852428168 -0.2527692944 -0.1211454837
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
 0.4120073625 -0.3338122900 -0.1082345930
 0.3129682606 -0.2736745961 -0.3120974376
-0.0682118234 -0.5228635379  2.6639302450
-0.3583036318 -0.0963166919 -0.1669199782
 0.3129682606 -0.2736745961 -0.3120974376
-0.3583036318 -0.0963166919 -0.1669199782
 0.1852428168 -0.2527692944 -0.1211454837
 0.0398332237 -0.2057909866 -0.0058305061
-0.2295026161  0.2765955636  2.3134400780
 1.5108379346  0.3279613190 -0.4290595432
-0.8398597074 -0.4742816503  2.6163889645
 0.3569343946 -0.2664632925 -0.1718851513
-0.3583036318 -0.0963166919 -0.1669199782
 0.5833796723 -0.3622435891  0.0399439884
 0.6231279076 -0.4332455221  0.5259478768
 0.1852428168 -0.2527692944 -0.1211454837
 0.5400312417  0.3023049224 -0.4997625857
 3.6426093980  0.6630000869 -0.1928016529
 0.7855183910 -0.2729198830 -0.2217827846
-0.3583036318 -0.0963166919 -0.1669199782
 0.7550712501 -0.3759375872 -0.0107956792
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
 0.4120073625 -0.3338122900 -0.1082345930
-0.3583036318 -0.0963166919 -0.1669199782
 0.3569343946 -0.2664632925 -0.1718851513
 0.9135422702  0.3631973295 -0.6133107773
-0.8539037789 -0.5764388395  5.2196181392
 0.7204987545  0.0225457514  3.1497941705
 0.4128542318  0.0550781709  0.0557353615
 0.0152073967 -0.0354242849 -0.2804681698
 0.0398332237 -0.2057909866 -0.0058305061
 0.0398332237 -0.2057909866 -0.0058305061
 0.7304454231 -0.2055708854 -0.2854333429
 1.1836552465 -0.3823941777 -0.0606933126
 0.5400312417  0.3023049224 -0.4997625857
 0.0393432033 -0.0058142361  0.1692835531
 1.3536906667 -0.5997391872  0.0986293736
-0.3583036318 -0.0963166919 -0.1669199782
 0.6338637075  0.4935385037 -0.2215908835
 0.0398332237 -0.2057909866 -0.0058305061
 0.5587538453 -0.1918768874 -0.2346936753
 3.5107101175 -0.2145569794  4.8660608768
 2.0689286932 -0.7698857877  0.0936642005
-0.5872202455 -0.9431978197  5.7423371081
 0.1852428168 -0.2527692944 -0.1211454837
 1.8425618139  9.6714427686 -0.7769677642
 0.1852428168 -0.2527692944 -0.1211454837
 0.0398332237 -0.2057909866 -0.0058305061
 1.0060378463  0.3655172003 -0.3239949704
-0.3583036318 -0.0963166919 -0.1669199782
 0.9568907008 -0.3013511820 -0.0736042032
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
 2.9202929392  0.9722879304  2.0592857805
 0.0152073967 -0.0354242849 -0.2804681698
 0.7550712501 -0.3759375872 -0.0107956792
 0.1852428168 -0.2527692944 -0.1211454837
-0.3583036318 -0.0963166919 -0.1669199782
 0.4120073625 -0.3338122900 -0.1082345930
 0.3569343946 -0.2664632925 -0.1718851513
-0.3583036318 -0.0963166919 -0.1669199782
 2.8070112283 -0.0399138755 -0.4002366399
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
 0.0398332237 -0.2057909866 -0.0058305061
 0.0152073967 -0.0354242849 -0.2804681698
 0.1852428168 -0.2527692944 -0.1211454837
 0.4133442522 -0.1448985796 -0.1193786977
 1.7226127624  0.3842843103 -0.3401042482
 1.1527843291  0.5074526030 -0.4504540527
-0.8398597074 -0.4742816503  2.6163889645
-0.3583036318 -0.0963166919 -0.1669199782
 1.1272453890 -0.5039588906 -0.1131997661
-0.3583036318 -0.0963166919 -0.1669199782
 0.4133442522 -0.1448985796 -0.1193786977
 0.0152073967 -0.0354242849 -0.2804681698
-0.3583036318 -0.0963166919 -0.1669199782
 4.4419626557  1.3035333344  4.6536185443
-0.3583036318 -0.0963166919 -0.1669199782
 0.4120073625 -0.3338122900 -0.1082345930
 0.0398332237 -0.2057909866 -0.0058305061
 5.2805077039  0.9401626083  0.2106104323
 0.4120073625 -0.3338122900 -0.1082345930
 0.4514363298 -0.4195515241  0.5766875445
 0.7550712501 -0.3759375872 -0.0107956792
 0.7550712501 -0.3759375872 -0.0107956792
 0.4514363298 -0.4195515241  0.5766875445
 1.7564253932 -0.6812397204  5.1523248834
 1.5495842950  0.2090645978 -0.2782204759
-0.2295026161  0.2765955636  2.3134400780
 0.0398332237 -0.2057909866 -0.0058305061
 1.9971834662 -0.1230992258  1.7056995315
-0.3583036318 -0.0963166919 -0.1669199782
 0.4753346252 -0.6793161404  2.7097047395
 0.3129682606 -0.2736745961 -0.3120974376
-0.3583036318 -0.0963166919 -0.1669199782
 0.5587538453 -0.1918768874 -0.2346936753
-0.0695487131 -0.7117772484  2.6750743497
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
 0.7855183910 -0.2729198830 -0.2217827846
 1.9177828769  0.0303873588  0.1864059955
 0.0152073967 -0.0354242849 -0.2804681698
 0.7550712501 -0.3759375872 -0.0107956792
-0.3583036318 -0.0963166919 -0.1669199782
 0.0398332237 -0.2057909866 -0.0058305061
 1.8931570499  0.2007540605 -0.0882316682
 0.5400312417  0.3023049224 -0.4997625857
 0.1852428168 -0.2527692944 -0.1211454837
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
 0.7304454231 -0.2055708854 -0.2854333429
 0.7955999082  0.4981079195 -0.4240943701
 0.4133442522 -0.1448985796 -0.1193786977
 0.4133442522 -0.1448985796 -0.1193786977
-0.3583036318 -0.0963166919 -0.1669199782
 0.8565147093 -0.4301271986 -0.2663229430
 0.4133442522 -0.1448985796 -0.1193786977
 0.7304454231 -0.2055708854 -0.2854333429
-0.3583036318 -0.0963166919 -0.1669199782
 1.2739918718 -0.3620234879 -0.2396588483
-0.3583036318 -0.0963166919 -0.1669199782
 0.0152073967 -0.0354242849 -0.2804681698
 2.5691267112 -0.2617898787 -0.4002678792
 0.0393432033 -0.0058142361  0.1692835531
-0.4422128723 -0.3837791945  2.9525924958
-0.3583036318 -0.0963166919 -0.1669199782
 0.4120073625 -0.3338122900 -0.1082345930
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
 0.0152073967 -0.0354242849 -0.2804681698
 0.0152073967 -0.0354242849 -0.2804681698
-0.3583036318 -0.0963166919 -0.1669199782
 0.0152073967 -0.0354242849 -0.2804681698
 0.4133442522 -0.1448985796 -0.1193786977
 0.0152073967 -0.0354242849 -0.2804681698
 0.0393432033 -0.0058142361  0.1692835531
-0.3583036318 -0.0963166919 -0.1669199782
 0.0152073967 -0.0354242849 -0.2804681698
 0.4133442522 -0.1448985796 -0.1193786977
-0.3583036318 -0.0963166919 -0.1669199782
 1.0832792550 -0.5111701942 -0.2534120524
 0.0152073967 -0.0354242849 -0.2804681698
-0.3583036318 -0.0963166919 -0.1669199782
 0.2357268520  0.6030127984 -0.3826803556
 1.0282062870 -0.4438211966 -0.3170626107
-0.3583036318 -0.0963166919 -0.1669199782
 0.1852428168 -0.2527692944 -0.1211454837
 3.0683052167  5.2876345385 -0.4324865428
 2.5350347832  1.0338173868 -0.4486171344
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
-0.8398597074 -0.4742816503  2.6163889645
 0.4133442522 -0.1448985796 -0.1193786977
 0.3280981221 -0.6212747926  3.0112778809
 0.3897961456  2.3815403500  2.7318260556
 2.6559177551  0.1437048789  5.9414685720
 4.5655700986  0.8912549995 -0.2510065968
 3.6258577121  0.1057741410  0.5971709105
 0.8101442180 -0.4432865847  0.0528548790
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
 0.8101442180 -0.4432865847  0.0528548790
 1.7988157168 -0.0242942806 -0.4589532643
 0.3569343946 -0.2664632925 -0.1718851513
 1.1272453890 -0.5039588906 -0.1131997661
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
 1.0835776904  0.1458523199 -0.4539880912
-0.3583036318 -0.0963166919 -0.1669199782
 2.3551251570 -0.0516561728 -0.6998028516
-0.3583036318 -0.0963166919 -0.1669199782
-0.8398597074 -0.4742816503  2.6163889645
 1.7093259608  0.3442254906 -0.1160177740
 1.3836484150  6.5890428040 -0.1160380670
 0.4120073625 -0.3338122900 -0.1082345930
 0.4120073625 -0.3338122900 -0.1082345930
 0.0398332237 -0.2057909866 -0.0058305061
 1.6707918377 -0.6604114931 -0.0674252716
-0.7037984417  2.0100235957 -0.0049542355
 0.1852428168 -0.2527692944 -0.1211454837
 0.0398332237 -0.2057909866 -0.0058305061
 0.3569343946 -0.2664632925 -0.1718851513
 0.9004808433 -0.4229158950 -0.1261106567
 0.1852428168 -0.2527692944 -0.1211454837
-0.3583036318 -0.0963166919 -0.1669199782
 0.3129682606 -0.2736745961 -0.3120974376
 0.0152073967 -0.0354242849 -0.2804681698
 0.3129682606 -0.2736745961 -0.3120974376
-0.0921101189 -0.2630989216  0.5309130499
 0.3569343946 -0.2664632925 -0.1718851513
-0.3583036318 -0.0963166919 -0.1669199782
 0.1852428168 -0.2527692944 -0.1211454837
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
 0.8096541977 -0.2433098342  0.2279689382
-0.4422128723 -0.3837791945  2.9525924958
 1.6936363463  0.2397070197 -0.5563609389
-0.1246216810 -0.6444282509  2.6114237914
 3.8051427630  1.3344684893  2.8159960948
 0.0398332237 -0.2057909866 -0.0058305061
 0.4120073625 -0.3338122900 -0.1082345930
 0.8044079949  0.3100082540  0.0302816965
 0.4120073625 -0.3338122900 -0.1082345930
-0.3583036318 -0.0963166919 -0.1669199782
-0.1602519931  1.8535709932  0.0408202590
-0.3583036318 -0.0963166919 -0.1669199782
 0.0152073967 -0.0354242849 -0.2804681698
 0.9135422702  0.3631973295 -0.6133107773
 0.6864792891 -0.2127821890 -0.4256456292
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
 0.4120073625 -0.3338122900 -0.1082345930
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
 0.0398332237 -0.2057909866 -0.0058305061
-0.3583036318 -0.0963166919 -0.1669199782
-0.3583036318 -0.0963166919 -0.1669199782
 0.4514363298 -0.4195515241  0.5766875445
-0.3583036318 -0.0963166919 -0.1669199782
 2.4088743728  0.0695604192 -0.5613261120
-0.3583036318 -0.0963166919 -0.1669199782
