정책	tf	df
채소섭취	17317	0.033
균형잡힌식사	16703	0.178
과일섭취	7652	0.078
합병증	5574	0.117
건강보조식품	5540	0.086
유제품	4977	-0.111
유연성	4681	0.035
걷기	4488	0.007
심혈관질환	4116	0.073
시술	3740	0.289
내분기계질환	3479	0.092
잎채소섭취	3236	-0.01
유산소	3092	-0.03
소금섭취	2708	0.005
수술	2654	0.04
저열량식사	2630	0.012
현미식사	2601	-0.049
정신증상	2387	0.153
자전거	1994	0.018
근력운동	1950	-0.021
한약	1879	0.622
원푸드식사	1857	-0.095
근골격계질환	1622	0.105
신체적증상	1538	-0.027
당뇨병치료제	1393	0.022
소화기계질환	1357	0.116
다이어트식단	1229	-0.246
해조류섭취	1142	-0.031
암	952	0.028
비만치료제	916	0.113
저지방식사	902	-0.018
육류섭취	875	-0.05
스포츠	816	0.014
댄스	571	-0.015
호흡기계질환	397	0.203
생식호르몬계질환	362	-0.121
계란	333	-0.122
신경계질환	303	0.074
운동치료	299	-0.042
생선섭취	184	-0.144
고단백식사	138	0.042

