정책	tf	df
채소섭취	24693	0.007
균형잡힌식사	24621	0.123
과일섭취	9871	0.075
건강보조식품	7313	0.074
걷기	6011	0.012
유제품	5950	-0.098
심혈관질환	5939	0.087
합병증	5750	0.145
시술	5381	0.269
유연성	5245	0.033
잎채소섭취	4201	-0.024
내분기계질환	3937	0.117
유산소	3092	-0.009
현미식사	3074	-0.017
소금섭취	2936	0.037
수술	2911	0.057
저열량식사	2741	0.033
정신증상	2608	0.175
자전거	2105	0.018
근력운동	2103	-0.005
한약	1879	0.664
원푸드식사	1867	-0.074
신체적증상	1735	-0.008
근골격계질환	1694	0.127
해조류섭취	1622	-0.009
암	1542	0.1
소화기계질환	1475	0.145
생식호르몬계질환	1475	0.145
당뇨병치료제	1420	0.054
다이어트식단	1338	-0.24
비만치료제	1102	0.126
스포츠	1017	-0.027
육류섭취	944	-0.038
저지방식사	919	0.001
댄스	575	0.003
호흡기계질환	396	-0.121
계란	336	-0.104
신경계질환	334	0.057
운동치료	299	-0.023
생선섭취	190	-0.132
고단백식사	139	0.068

